Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.31     0.00  1308247     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&>(std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&) const
  0.00      6.31     0.00  1308247     0.00     0.00  std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      6.31     0.00  1308247     0.00     0.00  std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned short const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>*) const
  0.00      6.31     0.00  1308247     0.00     0.00  std::equal_to<unsigned short>::operator()(unsigned short const&, unsigned short const&) const
  0.00      6.31     0.00  1308247     0.00     0.00  std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_Equal_hash_code<std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> >::_S_equals(unsigned long, std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> const&)
  0.00      6.31     0.00  1308247     0.00     0.00  std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >& std::forward<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&>(std::remove_reference<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&>::type&)
  0.00      6.31     0.00  1306332     0.00     0.00  std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::end()
  0.00      6.31     0.00  1306332     0.00     0.00  std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::find(unsigned short const&)
  0.00      6.31     0.00  1306145     0.00     0.00  BitInputStream::consumeNextBit()
  0.00      6.31     0.00  1304630     0.00     0.00  std::move_iterator<unsigned char*>::base() const &
